gaz,url_txt,skiprows
no2,https://oceancolor.gsfc.nasa.gov/resources/docs/rsr/k_no2.txt,17
o3,https://oceancolor.gsfc.nasa.gov/resources/docs/rsr/k_o3_anderson.txt,19
