,id_EUMETSAT,url_tar
33,iss_1_ecostres,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_iss_1_ecostres_srf/rtcoef_iss_1_ecostres_srf.tar.gz
34,dscovr_1_epic,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_dscovr_1_epic_srf/rtcoef_dscovr_1_epic_srf.tar.gz
35,mtg_1_fci,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_mtg_1_fci_srf/rtcoef_mtg_1_fci_srf.tar.gz
36,gms_1_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_gms_1_imager_srf/rtcoef_gms_1_imager_srf.tar.gz
37,gms_2_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_gms_2_imager_srf/rtcoef_gms_2_imager_srf.tar.gz
38,gms_3_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_gms_3_imager_srf/rtcoef_gms_3_imager_srf.tar.gz
39,gms_4_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_gms_4_imager_srf/rtcoef_gms_4_imager_srf.tar.gz
40,gms_5_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_gms_5_imager_srf/rtcoef_gms_5_imager_srf.tar.gz
41,goes_8_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_8_imager_srf/rtcoef_goes_8_imager_srf.tar.gz
42,goes_9_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_9_imager_srf/rtcoef_goes_9_imager_srf.tar.gz
43,goes_10_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_10_imager_srf/rtcoef_goes_10_imager_srf.tar.gz
44,goes_11_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_11_imager_srf/rtcoef_goes_11_imager_srf.tar.gz
45,goes_12_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_12_imager_srf/rtcoef_goes_12_imager_srf.tar.gz
46,goes_13_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_goes_13_imager_srf/rtcoef_goes_13_imager_srf.tar.gz
